surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
CO  	211	H-CH3 	0.86	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni  	211	H-CH3 	1.13	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu  	211	H-CH3 	1.7	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au  	211	H-CH3 	1.83	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag  	211	H-CH3 	2.23	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	H-CH	2.35	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	H-CH	3.27	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	H-CH	1.07	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	H-CH	1.93	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	H-CH	4.74	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	H-CH	4.58	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	H-CH	1.54	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	H-CH	2.05	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re	211	H-CH	0.6	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	C-H	3.06	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	C-H	4.31	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	C-H	1.74	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	C-H	1.97	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	C-H	2.25	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2CH2OH	2.26	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2CH2OH	3.07	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2CH2OH	2.64	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2CH2OH	3.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2CH2OH	2.44	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2CHOH	3.12	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2CHOH	2.48	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2CHOH	1.58	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2CHOH	3.13	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2CHOH	2.43	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2CO	1.99	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2CO	3.99	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2CO	2.75	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2CO	3.05	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2CO	3.91	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2COH	3.65	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2COH	2.88	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2COH	1.72	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2COH	4.2	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2COH	2.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CHO	2.59	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CHO	2.53	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CHO	2.19	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CHO	2.65	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CHO	1.61	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CHOH	1.43	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CHOH	3.29	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CHOH	3.03	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CHOH	2.26	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CHOH	2.29	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CO	3.21	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CO	2.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CO	1.66	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CO	3.54	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CO	1.52	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3COH	1.46	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3COH	3.37	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3COH	1.84	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3COH	2.58	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3COH	3.97	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CHCHOH	2.03	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CHCHOH	3.46	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CHCHOH	2.71	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CHCHOH	4.05	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CHCHOH	3.19	fcc	[]	[]	Fatima Jalid Tuhin S Khan
